1513,15080706,5
1513,15080712,5
1513,15080715,5
1513,15080718,5
1513,15080721,5
1513,15080800,5
1513,15080803,5
1513,15080806,5
1513,15080812,5
1513,15080818,4
1513,15080900,3
1513,15080906,3
1513,15080912,2
1513,15080918,2
1513,15081000,2
1513,15081006,2
1513,15081012,2
1513,15081018,2
1513,15081100,3
1513,15081106,3
1513,15081112,2
1513,15081118,6
1513,15081200,6
1514,15080600,2
1514,15080606,2
1514,15080612,2
1514,15080618,2
1514,15080700,2
1514,15080706,3
1514,15080712,3
1514,15080718,3
1514,15080800,3
1514,15080806,3
1514,15080812,3
1514,15080818,3
1514,15080900,3
1514,15080906,3
1514,15080912,3
1514,15080918,3
1514,15081000,3
1514,15081006,3
1514,15081012,3
1514,15081018,3
1514,15081100,3
1514,15081106,3
1514,15081112,3
1514,15081118,3
1514,15081200,3
1514,15081206,3
1514,15081212,3
1514,15081218,3
1514,15081300,3
1514,15081306,3
1514,15081312,3
1514,15081318,3
1514,15081400,6
1514,15081406,6
1514,15081412,6
1514,15081418,6
1514,15081500,6
1514,15081506,6
1514,15081512,6
1514,15081518,6
1514,15081600,6
1514,15081606,6
1514,15081612,6
1514,15081618,6
1514,15081700,6
1514,15081706,6
1514,15081712,6
1514,15081718,6
1514,15081800,6
1515,15081318,2
1515,15081400,2
1515,15081406,2
1515,15081412,2
1515,15081418,3
1515,15081500,3
1515,15081506,3
1515,15081512,4
1515,15081518,4
1515,15081600,4
1515,15081606,4
1515,15081612,5
1515,15081618,5
1515,15081700,5
1515,15081706,5
1515,15081712,5
1515,15081718,5
1515,15081800,5
1515,15081806,5
1515,15081812,5
1515,15081818,5
1515,15081900,5
1515,15081906,5
1515,15081912,5
1515,15081918,5
1515,15082000,5
1515,15082006,5
1515,15082012,5
1515,15082018,5
1515,15082100,5
1515,15082106,5
1515,15082112,5
1515,15082118,5
1515,15082200,5
1515,15082206,5
1515,15082212,5
1515,15082215,5
1515,15082218,5
1515,15082221,5
1515,15082300,5
1515,15082303,5
1515,15082306,5
1515,15082309,5
1515,15082310,5
1515,15082312,5
1515,15082315,5
1515,15082318,5
1515,15082321,5
1515,15082400,5
1515,15082403,5
1515,15082406,5
1515,15082409,5
1515,15082412,5
1515,15082415,5
1515,15082418,5
1515,15082419,5
1515,15082420,5
1515,15082421,5
1515,15082500,5
1515,15082503,5
1515,15082506,5
1515,15082509,4
1515,15082512,6
1515,15082518,6
1515,15082600,6
1515,15082606,6
1515,15082612,6
1515,15082618,6
1515,15082700,6
1515,15082706,6
1515,15082712,6
1515,15082718,6
1515,15082800,6
1515,15082806,6
1515,15082812,6
1515,15082818,6
1515,15082900,6
1515,15082906,6
1515,15082912,6
1515,15082918,6
1515,15083000,6
1515,15083006,6
