3074,276
2816,278
2304,280
2561,280
768,293
2561,510
512,511
2305,511
2071,512
808,766
2076,766
1281,767
1580,767
1539,768
534,769
1590,769
1840,803
513,1016
769,1023
1024,1023
1281,1024
1801,1024
1546,1025
1536,1278
1025,1280
1280,1295
1281,1301
699,1534
1295,1535
1290,1535
1449,1538
1024,1540
1026,1542
512,1780
1280,1785
1024,1791
768,1820
1039,2036
513,2048
769,2059
513,2302
767,2303
1025,2304
785,2561
1024,2571
1025,2789
768,2816
1026,3072
770,3072
1280,3320
769,3327
1026,3328
1536,3330
1536,3586
1792,3587
1793,3839
1537,3839
1281,3841
535,4094
2048,4095
1780,4095
1536,4095
786,4095
1024,4095
2304,4096
2520,4351
1793,4351
1537,4352
2816,4352
1278,4353
1506,4606
2816,4607
1255,4608
244,4850
3072,4863
512,4863
768,4863
3329,4865
769,4987
